"Exploration and Deposit Appraisal(1), Expenditures Category",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2022,Percentage of grand total ,Diamond Drilling (Surface and Underground),n.a.,Metres (%)
2022,Percentage of grand total ,Diamond Drilling (Surface and Underground),41.6914350140608,Cost (%)
2022,Percentage of grand total ,Other Drilling (Surface and Underground),n.a.,Metres (%)
2022,Percentage of grand total ,Other Drilling (Surface and Underground),1.38587418992762,Cost (%)
2022,Percentage of grand total ,Geochemistry and Geology,11.3972060476127,(%)
2022,Percentage of grand total ,Geophysics,2.89281667509616,(%)
2022,Percentage of grand total ,Rock Work(2),7.27527998742819,(%)
2022,Percentage of grand total ,Other Field Costs,10.9469121285935,(%)
2022,Percentage of grand total ,"Engineering, Economic and Feasibility Studies",12.7899492055895,(%)
2022,Percentage of grand total ,"Mineral Leases, Claims, Line Cutting and Head Office",6.59610196214779,(%)
2022,Percentage of grand total ,Environment,4.0596306149815,(%)
2022,Percentage of grand total ,Land Access,0.964794174562304,(%)
2022,Percentage of grand total ,Grand Total,100,(%)
2021,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),420.412,Metres (thousands)
2021,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),75596.161,Cost (thousands of dollars)
2021,Newfoundland and Labrador,Other Drilling (Surface and Underground),4.114,Metres (thousands)
2021,Newfoundland and Labrador,Other Drilling (Surface and Underground),519.013,Cost (thousands of dollars)
2021,Newfoundland and Labrador,Geochemistry and Geology,38496.363,(thousands of dollars)
2021,Newfoundland and Labrador,Geophysics,14885.518,(thousands of dollars)
2021,Newfoundland and Labrador,Rock Work(2),302.965,(thousands of dollars)
2021,Newfoundland and Labrador,Other Field Costs,17772.604,(thousands of dollars)
2021,Newfoundland and Labrador,"Engineering, Economic and Feasibility Studies",3843.652,(thousands of dollars)
2021,Newfoundland and Labrador,"Mineral Leases, Claims, Line Cutting and Head Office",14902.281,(thousands of dollars)
2021,Newfoundland and Labrador,Environment,2621.196,(thousands of dollars)
2021,Newfoundland and Labrador,Land Access,316.665,(thousands of dollars)
2021,Newfoundland and Labrador,Grand Total,169256.418,(thousands of dollars)
2021,Nova Scotia ,Diamond Drilling (Surface and Underground),38.309,Metres (thousands)
2021,Nova Scotia ,Diamond Drilling (Surface and Underground),9329.116,Cost (thousands of dollars)
2021,Nova Scotia ,Other Drilling (Surface and Underground),2.961,Metres (thousands)
2021,Nova Scotia ,Other Drilling (Surface and Underground),3279.507,Cost (thousands of dollars)
2021,Nova Scotia ,Geochemistry and Geology,3008.364,(thousands of dollars)
2021,Nova Scotia ,Geophysics,278.226,(thousands of dollars)
2021,Nova Scotia ,Rock Work(2),15150.335,(thousands of dollars)
2021,Nova Scotia ,Other Field Costs,10708.406,(thousands of dollars)
2021,Nova Scotia ,"Engineering, Economic and Feasibility Studies",1616.848,(thousands of dollars)
2021,Nova Scotia ,"Mineral Leases, Claims, Line Cutting and Head Office",3464.048,(thousands of dollars)
2021,Nova Scotia ,Environment,3333.559,(thousands of dollars)
2021,Nova Scotia ,Land Access,0,(thousands of dollars)
2021,Nova Scotia ,Grand Total,50168.409,(thousands of dollars)
2021,New Brunswick,Diamond Drilling (Surface and Underground),77.3452,Metres (thousands)
2021,New Brunswick,Diamond Drilling (Surface and Underground),12603.764,Cost (thousands of dollars)
2021,New Brunswick,Other Drilling (Surface and Underground),7.3,Metres (thousands)
2021,New Brunswick,Other Drilling (Surface and Underground),1228.956,Cost (thousands of dollars)
2021,New Brunswick,Geochemistry and Geology,5538.957,(thousands of dollars)
2021,New Brunswick,Geophysics,1480.359,(thousands of dollars)
2021,New Brunswick,Rock Work(2),701.216,(thousands of dollars)
2021,New Brunswick,Other Field Costs,491.148,(thousands of dollars)
2021,New Brunswick,"Engineering, Economic and Feasibility Studies",472.259,(thousands of dollars)
2021,New Brunswick,"Mineral Leases, Claims, Line Cutting and Head Office",4321.613,(thousands of dollars)
2021,New Brunswick,Environment,138.804,(thousands of dollars)
2021,New Brunswick,Land Access,54.833,(thousands of dollars)
2021,New Brunswick,Grand Total,27031.909,(thousands of dollars)
2021,Quebec,Diamond Drilling (Surface and Underground),2123.252,Metres (thousands)
2021,Quebec,Diamond Drilling (Surface and Underground),461133.459,Cost (thousands of dollars)
2021,Quebec,Other Drilling (Surface and Underground),4.346,Metres (thousands)
2021,Quebec,Other Drilling (Surface and Underground),3933.462,Cost (thousands of dollars)
2021,Quebec,Geochemistry and Geology,98375.385,(thousands of dollars)
2021,Quebec,Geophysics,31074.008,(thousands of dollars)
2021,Quebec,Rock Work(2),149060.606,(thousands of dollars)
2021,Quebec,Other Field Costs,81452.594,(thousands of dollars)
2021,Quebec,"Engineering, Economic and Feasibility Studies",54362.246,(thousands of dollars)
2021,Quebec,"Mineral Leases, Claims, Line Cutting and Head Office",39067.214,(thousands of dollars)
2021,Quebec,Environment,64370.297,(thousands of dollars)
2021,Quebec,Land Access,7279.51,(thousands of dollars)
2021,Quebec,Grand Total,990108.781,(thousands of dollars)
2021,Ontario,Diamond Drilling (Surface and Underground),2686.234,Metres (thousands)
2021,Ontario,Diamond Drilling (Surface and Underground),474869.842,Cost (thousands of dollars)
2021,Ontario,Other Drilling (Surface and Underground),158.903,Metres (thousands)
2021,Ontario,Other Drilling (Surface and Underground),18242.291,Cost (thousands of dollars)
2021,Ontario,Geochemistry and Geology,119709.038,(thousands of dollars)
2021,Ontario,Geophysics,21191.549,(thousands of dollars)
2021,Ontario,Rock Work(2),50349.589,(thousands of dollars)
2021,Ontario,Other Field Costs,51604.971,(thousands of dollars)
2021,Ontario,"Engineering, Economic and Feasibility Studies",85341.942,(thousands of dollars)
2021,Ontario,"Mineral Leases, Claims, Line Cutting and Head Office",46557.038,(thousands of dollars)
2021,Ontario,Environment,23074.936,(thousands of dollars)
2021,Ontario,Land Access,5766.661,(thousands of dollars)
2021,Ontario,Grand Total,896707.857,(thousands of dollars)
2021,Manitoba,Diamond Drilling (Surface and Underground),179.599,Metres (thousands)
2021,Manitoba,Diamond Drilling (Surface and Underground),60229.783,Cost (thousands of dollars)
2021,Manitoba,Other Drilling (Surface and Underground),0.32,Metres (thousands)
2021,Manitoba,Other Drilling (Surface and Underground),99.97,Cost (thousands of dollars)
2021,Manitoba,Geochemistry and Geology,8259.219,(thousands of dollars)
2021,Manitoba,Geophysics,5539.214,(thousands of dollars)
2021,Manitoba,Rock Work(2),47.551,(thousands of dollars)
2021,Manitoba,Other Field Costs,7258.239,(thousands of dollars)
2021,Manitoba,"Engineering, Economic and Feasibility Studies",10933.108,(thousands of dollars)
2021,Manitoba,"Mineral Leases, Claims, Line Cutting and Head Office",5435.535,(thousands of dollars)
2021,Manitoba,Environment,348.55,(thousands of dollars)
2021,Manitoba,Land Access,1031.987,(thousands of dollars)
2021,Manitoba,Grand Total,99183.156,(thousands of dollars)
2021,Saskatchewan,Diamond Drilling (Surface and Underground),279.099,Metres (thousands)
2021,Saskatchewan,Diamond Drilling (Surface and Underground),77032.178,Cost (thousands of dollars)
2021,Saskatchewan,Other Drilling (Surface and Underground),18.359,Metres (thousands)
2021,Saskatchewan,Other Drilling (Surface and Underground),35825.965,Cost (thousands of dollars)
2021,Saskatchewan,Geochemistry and Geology,18939.605,(thousands of dollars)
2021,Saskatchewan,Geophysics,8218.816,(thousands of dollars)
2021,Saskatchewan,Rock Work(2),20104,(thousands of dollars)
2021,Saskatchewan,Other Field Costs,32862.789,(thousands of dollars)
2021,Saskatchewan,"Engineering, Economic and Feasibility Studies",21015.677,(thousands of dollars)
2021,Saskatchewan,"Mineral Leases, Claims, Line Cutting and Head Office",42985.576,(thousands of dollars)
2021,Saskatchewan,Environment,17189.098,(thousands of dollars)
2021,Saskatchewan,Land Access,6968.269,(thousands of dollars)
2021,Saskatchewan,Grand Total,281141.973,(thousands of dollars)
2021,Alberta,Diamond Drilling (Surface and Underground),0,Metres (thousands)
2021,Alberta,Diamond Drilling (Surface and Underground),0,Cost (thousands of dollars)
2021,Alberta,Other Drilling (Surface and Underground),7.411,Metres (thousands)
2021,Alberta,Other Drilling (Surface and Underground),1037.465,Cost (thousands of dollars)
2021,Alberta,Geochemistry and Geology,415.918,(thousands of dollars)
2021,Alberta,Geophysics,156.556,(thousands of dollars)
2021,Alberta,Rock Work(2),0,(thousands of dollars)
2021,Alberta,Other Field Costs,2002.587,(thousands of dollars)
2021,Alberta,"Engineering, Economic and Feasibility Studies",6080,(thousands of dollars)
2021,Alberta,"Mineral Leases, Claims, Line Cutting and Head Office",9038.726,(thousands of dollars)
2021,Alberta,Environment,1951.572,(thousands of dollars)
2021,Alberta,Land Access,108.132,(thousands of dollars)
2021,Alberta,Grand Total,20790.956,(thousands of dollars)
2021,British Columbia,Diamond Drilling (Surface and Underground),1453.5797,Metres (thousands)
2021,British Columbia,Diamond Drilling (Surface and Underground),354058.27,Cost (thousands of dollars)
2021,British Columbia,Other Drilling (Surface and Underground),41.345,Metres (thousands)
2021,British Columbia,Other Drilling (Surface and Underground),9332.72,Cost (thousands of dollars)
2021,British Columbia,Geochemistry and Geology,102209.984,(thousands of dollars)
2021,British Columbia,Geophysics,25896.367,(thousands of dollars)
2021,British Columbia,Rock Work(2),51100.204,(thousands of dollars)
2021,British Columbia,Other Field Costs,126338.957,(thousands of dollars)
2021,British Columbia,"Engineering, Economic and Feasibility Studies",118899.455,(thousands of dollars)
2021,British Columbia,"Mineral Leases, Claims, Line Cutting and Head Office",56581.428,(thousands of dollars)
2021,British Columbia,Environment,43712.64,(thousands of dollars)
2021,British Columbia,Land Access,9923.252,(thousands of dollars)
2021,British Columbia,Grand Total,898053.277,(thousands of dollars)
2021,Yukon,Diamond Drilling (Surface and Underground),170.58,Metres (thousands)
2021,Yukon,Diamond Drilling (Surface and Underground),52998.217,Cost (thousands of dollars)
2021,Yukon,Other Drilling (Surface and Underground),16.979,Metres (thousands)
2021,Yukon,Other Drilling (Surface and Underground),4237.049,Cost (thousands of dollars)
2021,Yukon,Geochemistry and Geology,22928.786,(thousands of dollars)
2021,Yukon,Geophysics,4709.702,(thousands of dollars)
2021,Yukon,Rock Work(2),7670,(thousands of dollars)
2021,Yukon,Other Field Costs,31612.676,(thousands of dollars)
2021,Yukon,"Engineering, Economic and Feasibility Studies",10153.448,(thousands of dollars)
2021,Yukon,"Mineral Leases, Claims, Line Cutting and Head Office",10277.14,(thousands of dollars)
2021,Yukon,Environment,6303.851,(thousands of dollars)
2021,Yukon,Land Access,3021.301,(thousands of dollars)
2021,Yukon,Grand Total,153912.17,(thousands of dollars)
2021,Northwest Territories,Diamond Drilling (Surface and Underground),106.801,Metres (thousands)
2021,Northwest Territories,Diamond Drilling (Surface and Underground),39165.086,Cost (thousands of dollars)
2021,Northwest Territories,Other Drilling (Surface and Underground),3.829,Metres (thousands)
2021,Northwest Territories,Other Drilling (Surface and Underground),1756.89,Cost (thousands of dollars)
2021,Northwest Territories,Geochemistry and Geology,3845.889,(thousands of dollars)
2021,Northwest Territories,Geophysics,5499.308,(thousands of dollars)
2021,Northwest Territories,Rock Work(2),1068.922,(thousands of dollars)
2021,Northwest Territories,Other Field Costs,8339.042,(thousands of dollars)
2021,Northwest Territories,"Engineering, Economic and Feasibility Studies",5398.022,(thousands of dollars)
2021,Northwest Territories,"Mineral Leases, Claims, Line Cutting and Head Office",4104.734,(thousands of dollars)
2021,Northwest Territories,Environment,6003.476,(thousands of dollars)
2021,Northwest Territories,Land Access,251.254,(thousands of dollars)
2021,Northwest Territories,Grand Total,75432.623,(thousands of dollars)
2021,Nunavut,Diamond Drilling (Surface and Underground),117.321,Metres (thousands)
2021,Nunavut,Diamond Drilling (Surface and Underground),37818.723,Cost (thousands of dollars)
2021,Nunavut,Other Drilling (Surface and Underground),0,Metres (thousands)
2021,Nunavut,Other Drilling (Surface and Underground),0,Cost (thousands of dollars)
2021,Nunavut,Geochemistry and Geology,10882.844,(thousands of dollars)
2021,Nunavut,Geophysics,2348.932,(thousands of dollars)
2021,Nunavut,Rock Work(2),39316.798,(thousands of dollars)
2021,Nunavut,Other Field Costs,3651.955,(thousands of dollars)
2021,Nunavut,"Engineering, Economic and Feasibility Studies",13721.444,(thousands of dollars)
2021,Nunavut,"Mineral Leases, Claims, Line Cutting and Head Office",3672.724,(thousands of dollars)
2021,Nunavut,Environment,4170.406,(thousands of dollars)
2021,Nunavut,Land Access,3606.016,(thousands of dollars)
2021,Nunavut,Grand Total,119189.842,(thousands of dollars)
2021,Total,Diamond Drilling (Surface and Underground),7652.5319,Metres (thousands)
2021,Total,Diamond Drilling (Surface and Underground),1654834.599,Cost (thousands of dollars)
2021,Total,Other Drilling (Surface and Underground),265.867,Metres (thousands)
2021,Total,Other Drilling (Surface and Underground),79493.288,Cost (thousands of dollars)
2021,Total,Geochemistry and Geology,432610.352,(thousands of dollars)
2021,Total,Geophysics,121278.555,(thousands of dollars)
2021,Total,Rock Work(2),334872.186,(thousands of dollars)
2021,Total,Other Field Costs,374095.968,(thousands of dollars)
2021,Total,"Engineering, Economic and Feasibility Studies",331838.101,(thousands of dollars)
2021,Total,"Mineral Leases, Claims, Line Cutting and Head Office",240408.057,(thousands of dollars)
2021,Total,Environment,173218.385,(thousands of dollars)
2021,Total,Land Access,38327.88,(thousands of dollars)
2021,Total,Grand Total,3780977.371,(thousands of dollars)
2021,Percentage of grand total ,Diamond Drilling (Surface and Underground),n.a.,Metres (%)
2021,Percentage of grand total ,Diamond Drilling (Surface and Underground),43.7673764379692,Cost (%)
2021,Percentage of grand total ,Other Drilling (Surface and Underground),n.a.,Metres (%)
2021,Percentage of grand total ,Other Drilling (Surface and Underground),2.10245341878297,Cost (%)
2021,Percentage of grand total ,Geochemistry and Geology,11.4417598824608,(%)
2021,Percentage of grand total ,Geophysics,3.2075980123606,(%)
2021,Percentage of grand total ,Rock Work(2),8.85676250189861,(%)
2021,Percentage of grand total ,Other Field Costs,9.89416045886195,(%)
2021,Percentage of grand total ,"Engineering, Economic and Feasibility Studies",8.77651645167701,(%)
2021,Percentage of grand total ,"Mineral Leases, Claims, Line Cutting and Head Office",6.35835746714391,(%)
2021,Percentage of grand total ,Environment,4.58131239632854,(%)
2021,Percentage of grand total ,Land Access,1.01370297251642,(%)
2021,Percentage of grand total ,Grand Total,100,(%)
2020,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),168.93,Metres (thousands)
2020,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),29891.857,Cost (thousands of dollars)
2020,Newfoundland and Labrador,Other Drilling (Surface and Underground),1.875,Metres (thousands)
2020,Newfoundland and Labrador,Other Drilling (Surface and Underground),473.456,Cost (thousands of dollars)
2020,Newfoundland and Labrador,Geochemistry and Geology,11592.307,(thousands of dollars)
2020,Newfoundland and Labrador,Geophysics,4169.761,(thousands of dollars)
2020,Newfoundland and Labrador,Rock Work(2),732.838,(thousands of dollars)
2020,Newfoundland and Labrador,Other Field Costs,3644.054,(thousands of dollars)
2020,Newfoundland and Labrador,"Engineering, Economic and Feasibility Studies",7169.562,(thousands of dollars)
2020,Newfoundland and Labrador,"Mineral Leases, Claims, Line Cutting and Head Office",12658.655,(thousands of dollars)
2020,Newfoundland and Labrador,Environment,3882.508,(thousands of dollars)
2020,Newfoundland and Labrador,Land Access,35.153,(thousands of dollars)
2020,Newfoundland and Labrador,Grand Total,74250.151,(thousands of dollars)
